Do	実行
Git Browser	Gitブラウザ
Git Browser (click to install)	Gitブラウザ (インストール)

Close This Project	プロジェクトを閉じる
Enter Project	プロジェクトに入る
Enter Parent Project	親のプロジェクトに入る
Enter Previous Project	前のプロジェクトに入る
Create 	生成 

Font Importer	フォント・インポータ
Preference Wizard	プリファレンス・ウィザード

Themes & Colors	テーマとカラー
Flat Widget Look	フラットな見た目

Squeak Help	Squeak ヘルプ
Release Notes	リリースノート
About Squeak	Squeakについて

expand all	全てを開く

choose set of preferences...	既存のプリファレンスを選ぶ
debug it (D)	式をデバッグ (D)
spy on it	式を計測
redo (Z)	やり直し (Z)
find and replace ...	検索して置換...
do/replace again (j)	繰り返し適用 (j)

Please confirm:	確認:
Please Confirm	確認
Please Choose	選択してください
Please choose	選択してください
Please choose:	選択してください:
Choose	選択
Choose or Add	選択か追加
Choose multiple:	複数を選択:
Input Requested	記入してください
Note	注意
You can either choose an existing item or add a new one.\What do you want?	既存のものを選ぶか、新しいものを追加するか、\どちらにしますか?

browse revisions	リビジョンを見る
show all comments	すべてのコメントを見る
copy reference (C)	メソッド参照をコピー (C)
find test case		テストケースを探す
find tested item	テスト対象を探す
invert level selection (I)	レベル選択を逆にする (I)
remove from this browser (d)	このブラウザから削除 (d)
print out	プリントアウト
toggle category selection (Y)	カテゴリ選択を切り替え (Y)
delete Monticello load change sets	Monticelloパッケージ由来のチェンジセットを削除
Are you sure you want to delete all change sets due to Monticello package loads?	すべてのMonticelloパッケージ由来のチェンジセットが削除されますがよろしいですか?
current change set is a Monticello load change set.\Please select some other change set before deleting Monticello load change sets.	選択中のチェンジセットはMonticelloパッケージ由来のものです。\別のチェンジセットを選択してください。

Import Font	フォントを埋め込む
Link Font	フォントを参照

Port:	ポート番号:

demote to bottom	一番下に表示

search history	履歴を検索
inspect working copy	ワーキングコピーをインスペクト
change environment...	Environmentの変更...
check all packages for changes	更新のあるパッケージを調べる

add new dependency...	依存パッケージを追加
remove this dependency	依存パッケージを削除
update this dependency from image	依存パッケージをイメージから更新
update this dependency from repositories	依存パッケージをリポジトリから更新

more ...	さらに...
browse details...	詳細をブラウズ...

#Welcome to Squeak	Squeakへようこそ
#Configure	設定を開始
#Skip	後で

Email	Eメール
Browse cache	キャッシュをブラウズ
Copy from cache	キャッシュからコピー
Edit Release	リリース情報を編集
Force download into cache	キャッシュをダウンロードで強制上書き
Create new Release	新規リリースを作成
Upgrade All	すべてをアップグレード
Copy list	一覧をコピー
Save filters	フィルタを保存
Upgrade all installed packages	インストールされたパッケージをアップグレード
Upgrade all installed packages confirming each	インストールされたパッケージをアップグレード(確認あり)
Put list in paste buffer	一覧をクリップボードにコピー
Save filters as default	フィルタをデフォルトとして保存

You dropped a file. Please choose a service:	このファイルをどうするか、選んでください:
edit as text file	テキストファイルとして編集

New Directory	ディレクトリの作成
Save Image as new name...	名前を付けてイメージを保存...

Choose Directory	ディレクトリを選択
Choose File	ファイルを選択
Save As File	ファイルを保存

Name of package:	パッケージ名:
New name of package:	パッケージ名:
Repository type:	リポジトリの種類:
revert (x)	リバート
browse origin	オリジナルをブラウズ
Reparent	親を変更
Clear all filters	すべてのフィルタを解除

remove from RecentSubmissions	最近の変更から削除
set size of recent history...	最近の変更の数を指定...

Tally It	計測
senders of    (n)	センダ (n)
implementors of    (m)	インプリメンタ (m)
references    (r)	参照 (r)
assignments    (a)	代入 (a)
remove method (x) 	メソッドを削除 (x)
copy bug report to clipboard	クリップボードにバグレポートをコピー

pen trails...	ペンの種類...
copy layout properties	レイアウトのプロパティをコピー
change cell gap...	セル間の隙間を変更...

Yes, overwrite	上書きする
No, don''t overwrite	上書きしない
Overwrite ALL files	すべてを上書き
Cancel operation	キャンセル

fileOut selections...	選択をファイルアウト...
select unchanged definitions	変更のない定義を選択
select methods for extant classes	現存するクラスのメソッドを選択
select changes with contents matching	内容が一致する変更を選択
select all before	ここから前のすべてを選択

Soft Shadows	ソフトな影
Soft shadows	ソフトな影
Hard Shadows	ハードな影
Hard shadows	ハードな影

Rounded Window/Dialog/Menu Look		ウィンドウ・ダイアログ・メニューの角を丸く
Rounded Button/Scrollbar Look	ボタンとスクロールバーの角を丸く

Increase Font Size	フォントを大きく
Decrease Font Size	フォントを小さく

Set High-DPI Mode	高DPIモードに
Set Etoys Mode	Etoysモードに
Restore UI Theme Background	背景をレストア
Edit Current UI Theme...	UIテーマを編集...

Default fixed font...	デフォルトの固定長フォント...
default fixed font...	デフォルトの固定長フォント...

demo/hi-dpi mode	デモ・高DPIモードに
print current font choices	現在のフォント設定を表示
refresh this menu	メニューをリフレッシュ

Save As...	別名で保存...
save as...	別名で保存...

Add as filter	フィルタとして追加
Remove filter	フィルタを削除
Remove all filters	すべてのフィルタを削除

Auto-installable packages	自動インストール可能なパッケージ
New available packages	新規に利用可能になったパッケージ
New safely-available packages	安定利用可能になったパッケージ
Installed packages	インストール済パッケージ
Published packages	正式公開されたパッケージ

run all tests	すべてのテストを実行
run test	テストを実行
debug test	テストをデバッグ

Commit	コミット
Pull	プル
Push	プッシュ
Fetch	フェッチ
Branch	ブランチ
Settings	設定
Feedback	フィードバック
Clear	クリア

Working copy of 	ワーキングコピー: 
Rename project	プロジェクトの名前を変更
Remove project	プロジェクトを削除
Add or remove packages	パッケージの追加・削除
Set package storage format...	保存フォーマットの指定...
Add remote	リモートの追加
Manage remotes	リモートの管理
Edit credentials for project	クレデンシャルの編集
Edit project-level git user name/email	ユーザ・メールアドレスの編集

Browse working copy	ワーキングコピーをブラウズ
Explore SquotWorkingCopy	SquotWorkingCopyをエクスプロア

Add new project	プロジェクトの追加
Clone project	プロジェクトのクローン
New project...	新規のプロジェクト

Browse in selected version	選択中のバージョンをブラウズ
Checkout	チェックアウト
Merge	マージ
Explore	エクスプロア
(not in working copy)	(ワーキングコピー外)

Switch to this commit on a new branch	このコミットを適用した新たなブランチを作成
Cherry-pick to 	チェリーピック: 
Checkout objects	オブジェクトのチェックアウト
Merge objects	オブジェクトのマージ
Compare with parent commit	親コミットと比較
Compare with next selected commit	次に選択したコミットと比較
Compare with working copy	ワーキングコピーと比較

Tag commit	タグのコミット

Switch to this branch	このブランチに移動
Switch, but keep uncommitted changes	変更を残したままブランチを移動
Create a new branch and switch to it	ブランチを作成して移動

Discard uncommitted changes	コミットしていない変更を破棄

Merge into 	このブランチにマージ: 
Set upstream branch	アップストリームブランチを設定

Remove upstream branch at the remote	リモートのアップストリームブランチを削除

self-update...	自動更新...
set self-update branch...	自動更新のブランチを設定


drag out	ドラッグ可能
drop in	ドロップ可能

Type selector:	セレクタを入力

Apply	適用

